stream_id,step,stream_fraction,exact_f0,hll_estimate,hllp_estimate
12,20000,0.2000,19361,16906.42,16906.42
12,25000,0.2500,24180,22358.57,22358.57
12,30000,0.3000,28971,29391.60,29391.60
12,35000,0.3500,33769,33596.60,33596.60
12,40000,0.4000,38542,39054.29,39054.29
12,45000,0.4500,43333,44426.55,44426.55
12,50000,0.5000,48118,47974.95,47974.95
12,55000,0.5500,52915,53053.08,53053.08
12,60000,0.6000,57676,61403.79,61403.79
12,65000,0.6500,62465,64962.03,64962.03
12,70000,0.7000,67226,69405.01,69405.01
12,75000,0.7500,71994,73731.15,73731.15
12,80000,0.8000,76755,79083.85,79083.85
12,85000,0.8500,81503,82431.08,82431.08
12,90000,0.9000,86246,85698.76,85698.76
12,95000,0.9500,90980,86778.75,86778.75
12,100000,1.0000,95737,92890.50,92890.50
13,5000,0.0500,4902,5158.65,5158.65
13,10000,0.1000,9722,9924.20,9924.20
13,15000,0.1500,14540,15287.43,15287.43
13,20000,0.2000,19357,19851.08,19851.08
13,25000,0.2500,24164,24086.74,24086.74
13,30000,0.3000,28935,31451.88,31451.88
13,35000,0.3500,33739,37272.79,37272.79
13,40000,0.4000,38522,42036.26,42036.26
13,45000,0.4500,43305,47297.89,47297.89
13,50000,0.5000,48095,51865.46,51865.46
13,55000,0.5500,52882,58049.02,58049.02
13,60000,0.6000,57649,63154.22,63154.22
13,65000,0.6500,62423,69845.98,69845.98
13,70000,0.7000,67147,72964.93,72964.93
13,75000,0.7500,71922,75979.49,75979.49
13,80000,0.8000,76682,79849.81,79849.81
13,85000,0.8500,81426,81126.51,81126.51
13,90000,0.9000,86153,85428.08,85428.08
13,95000,0.9500,90879,89057.02,89057.02
13,100000,1.0000,95635,91070.87,91070.87
14,5000,0.0500,4887,4943.11,4943.11
14,10000,0.1000,9693,10116.41,10116.41
14,15000,0.1500,14522,14785.89,14785.89
14,20000,0.2000,19318,18781.17,18781.17
14,25000,0.2500,24140,24150.66,24150.66
14,30000,0.3000,28955,28132.47,28132.47
14,35000,0.3500,33754,34303.89,34303.89
14,40000,0.4000,38533,37591.06,37591.06
14,45000,0.4500,43325,43968.90,43968.90
14,50000,0.5000,48096,48296.60,48296.60
14,55000,0.5500,52866,51154.00,51154.00
14,60000,0.6000,57626,56864.26,56864.26
14,65000,0.6500,62385,60742.75,60742.75
14,70000,0.7000,67161,67293.60,67293.60
14,75000,0.7500,71945,70324.84,70324.84
14,80000,0.8000,76714,74391.44,74391.44
14,85000,0.8500,81490,81635.84,81635.84
14,90000,0.9000,86257,88421.43,88421.43
14,95000,0.9500,91044,90966.14,90966.14
14,100000,1.0000,95789,93570.75,93570.75
15,5000,0.0500,4893,5449.22,5449.22
15,10000,0.1000,9716,9073.99,9073.99
15,15000,0.1500,14520,14472.29,14472.29
15,20000,0.2000,19318,18723.60,18723.60
15,25000,0.2500,24132,22436.22,22436.22
15,30000,0.3000,28938,28906.21,28906.21
15,35000,0.3500,33737,33738.61,33738.61
15,40000,0.4000,38522,38594.17,38594.17
15,45000,0.4500,43295,42881.62,42881.62
15,50000,0.5000,48071,47626.29,47626.29
15,55000,0.5500,52871,50894.92,50894.92
15,60000,0.6000,57635,56139.89,56139.89
15,65000,0.6500,62398,58991.16,58991.16
15,70000,0.7000,67145,65410.19,65410.19
15,75000,0.7500,71888,70900.22,70900.22
15,80000,0.8000,76653,75774.67,75774.67
15,85000,0.8500,81376,78250.25,78250.25
15,90000,0.9000,86126,84749.83,84749.83
15,95000,0.9500,90880,86859.22,86859.22
15,100000,1.0000,95615,96150.27,96150.27
16,5000,0.0500,4906,4584.58,4584.58
16,10000,0.1000,9743,9267.06,9267.06
16,15000,0.1500,14546,14411.18,14411.18
16,20000,0.2000,19357,19418.49,19418.49
16,25000,0.2500,24166,24286.60,24286.60
16,30000,0.3000,28989,28722.13,28722.13
16,35000,0.3500,33778,33714.27,33714.27
16,40000,0.4000,38585,38869.52,38869.52
16,45000,0.4500,43373,43226.66,43226.66
16,50000,0.5000,48141,48607.27,48607.27
16,55000,0.5500,52915,53525.76,53525.76
16,60000,0.6000,57683,57138.36,57138.36
16,65000,0.6500,62446,62980.16,62980.16
16,70000,0.7000,67209,67538.53,67538.53
16,75000,0.7500,71991,73049.59,73049.59
16,80000,0.8000,76750,77497.86,77497.86
16,85000,0.8500,81511,82913.36,82913.36
16,90000,0.9000,86252,88783.41,88783.41
16,95000,0.9500,90980,94948.06,94948.06
16,100000,1.0000,95715,97615.96,97615.96
17,5000,0.0500,4880,4772.76,4772.76
17,10000,0.1000,9699,9196.97,9196.97
17,15000,0.1500,14492,13527.90,13527.90
17,20000,0.2000,19312,17921.11,17921.11
17,25000,0.2500,24125,23722.23,23722.23
17,30000,0.3000,28943,30078.07,30078.07
17,35000,0.3500,33737,33649.92,33649.92
17,40000,0.4000,38517,38690.61,38690.61
17,45000,0.4500,43272,42177.64,42177.64
17,50000,0.5000,48044,46344.34,46344.34
17,55000,0.5500,52811,49803.97,49803.97
17,60000,0.6000,57558,52934.29,52934.29
17,65000,0.6500,62332,57676.77,57676.77
17,70000,0.7000,67087,61574.76,61574.76
17,75000,0.7500,71851,64680.94,64680.94
17,80000,0.8000,76605,67019.12,67019.12
17,85000,0.8500,81329,71386.26,71386.26
